date,no2(ppm)
2020-02-29,0.027
2020-03-01,0.028
2020-03-02,0.017
2020-03-03,0.035
2020-03-04,0.016
2020-03-05,0.019
2020-03-06,0.042
2020-03-07,0.043
2020-03-08,0.034
2020-03-09,0.039
2020-03-10,0.019
2020-03-11,0.016
2020-03-12,0.029
2020-03-13,0.013
2020-03-14,0.016
2020-03-15,0.01
2020-03-16,0.019
2020-03-17,0.034
2020-03-18,0.04
2020-03-19,0.018
2020-03-20,0.021
2020-03-21,0.027
2020-03-22,0.01
2020-03-23,0.029
2020-03-24,0.032
2020-03-25,0.036
2020-03-26,0.039
2020-03-27,0.013
2020-03-28,0.009
2020-03-29,0.018
2020-03-30,0.036
2020-03-31,0.037
2020-04-01,0.018
2020-04-02,0.026
2020-04-03,0.03
2020-04-04,0.014
2020-04-05,0.013
2020-04-06,0.032
2020-04-07,0.027
2020-04-08,0.011
2020-04-09,0.019
2020-04-10,0.026
2020-04-11,0.025
2020-04-12,0.017
2020-04-13,0.017
2020-04-14,0.032
2020-04-15,0.029
2020-04-16,0.031
2020-04-17,0.026
2020-04-18,0.015
2020-04-19,0.019
2020-04-20,0.019
2020-04-21,0.012
2020-04-22,0.01
2020-04-23,0.013
2020-04-24,0.021
2020-04-25,0.019
2020-04-26,0.011
2020-04-27,0.02
2020-04-28,0.024
2020-04-29,0.027
2020-04-30,0.024
2020-05-01,0.015
2020-05-02,0.014
2020-05-03,0.014
2020-05-04,0.022
2020-05-05,0.024
2020-05-06,0.027
2020-05-07,0.026
2020-05-08,0.027
2020-05-09,0.02
2020-05-10,0.016
2020-05-11,0.021
2020-05-12,0.018
2020-05-13,0.022
2020-05-14,0.036
2020-05-15,0.033
2020-05-16,0.023
2020-05-17,0.018
2020-05-18,0.025
2020-05-19,0.015
2020-05-20,0.017
2020-05-21,0.027
2020-05-22,0.029
2020-05-23,0.021
2020-05-24,0.014
2020-05-25,0.024
2020-05-26,0.022
2020-05-27,0.016
2020-05-28,0.023
2020-05-29,0.024
2020-05-30,0.026
2020-05-31,0.017
2020-06-01,0.015
2020-06-02,0.026
2020-06-03,0.021
2020-06-04,0.021
2020-06-05,0.022
2020-06-06,0.025
2020-06-07,0.015
2020-06-08,0.023
2020-06-09,0.024
2020-06-10,0.028
2020-06-11,0.017
2020-06-12,0.035
2020-06-13,0.028
2020-06-14,0.015
2020-06-15,0.023
2020-06-16,0.028
2020-06-17,0.03
2020-06-18,0.029
2020-06-19,0.021
2020-06-20,0.024
2020-06-21,0.015
2020-06-22,0.025
2020-06-23,0.036
2020-06-24,0.032
2020-06-25,0.022
2020-06-26,0.022
2020-06-27,0.02
2020-06-28,0.01
2020-06-29,0.031
2020-06-30,0.012
2020-07-01,0.024
2020-07-02,0.031
2020-07-03,0.026
2020-07-04,0.017
2020-07-05,0.015
2020-07-06,0.021
2020-07-07,0.014
2020-07-08,0.022
2020-07-09,0.033
2020-07-10,0.019
2020-07-11,0.017
2020-07-12,0.018
2020-07-13,0.019
2020-07-14,0.015
2020-07-15,0.018
2020-07-16,0.022
2020-07-17,0.025
2020-07-18,0.027
2020-07-19,0.019
2020-07-20,0.017
2020-07-21,0.02
2020-07-22,0.031
2020-07-23,0.025
2020-07-24,0.018
2020-07-25,0.013
2020-07-26,0.016
2020-07-27,0.021
2020-07-28,0.022
2020-07-29,0.022
2020-07-30,0.024
2020-07-31,0.022
2020-08-01,0.015
2020-08-02,0.014
2020-08-03,0.019
